nOverlaps	nTotal	cs.nOverlaps	cs.nTotal	PosteriorProb	fraction	enrichment	cs.fraction	Disease
10	26	10	26	0.59	0.384615384615385	5.08185134638754	0.384615384615385	IBD
10	23	10	23	0.6	0.434782608695652	5.74470152200331	0.434782608695652	IBD
10	23	10	23	0.61	0.434782608695652	5.74470152200331	0.434782608695652	IBD
10	22	10	22	0.62	0.454545454545455	6.005824318458	0.454545454545455	IBD
10	22	10	22	0.63	0.454545454545455	6.005824318458	0.454545454545455	IBD
10	22	10	22	0.64	0.454545454545455	6.005824318458	0.454545454545455	IBD
8	20	8	20	0.65	0.4	5.28512540024304	0.4	IBD
8	20	8	20	0.66	0.4	5.28512540024304	0.4	IBD
6	18	6	18	0.67	0.333333333333333	4.4042711668692	0.333333333333333	IBD
6	18	6	18	0.68	0.333333333333333	4.4042711668692	0.333333333333333	IBD
6	18	6	18	0.69	0.333333333333333	4.4042711668692	0.333333333333333	IBD
6	17	6	17	0.7	0.352941176470588	4.66334594139092	0.352941176470588	IBD
6	17	6	17	0.71	0.352941176470588	4.66334594139092	0.352941176470588	IBD
6	16	6	16	0.72	0.375	4.95480506272785	0.375	IBD
6	16	6	16	0.73	0.375	4.95480506272785	0.375	IBD
6	15	6	15	0.74	0.4	5.28512540024304	0.4	IBD
6	15	6	15	0.75	0.4	5.28512540024304	0.4	IBD
5	14	5	14	0.76	0.357142857142857	4.71886196450272	0.357142857142857	IBD
5	14	5	14	0.77	0.357142857142857	4.71886196450272	0.357142857142857	IBD
5	14	5	14	0.78	0.357142857142857	4.71886196450272	0.357142857142857	IBD
5	14	5	14	0.79	0.357142857142857	4.71886196450272	0.357142857142857	IBD
5	14	5	14	0.8	0.357142857142857	4.71886196450272	0.357142857142857	IBD
5	14	5	14	0.81	0.357142857142857	4.71886196450272	0.357142857142857	IBD
4	13	4	13	0.82	0.307692307692308	4.06548107711003	0.307692307692308	IBD
4	13	4	13	0.83	0.307692307692308	4.06548107711003	0.307692307692308	IBD
4	13	4	13	0.84	0.307692307692308	4.06548107711003	0.307692307692308	IBD
4	12	4	12	0.85	0.333333333333333	4.4042711668692	0.333333333333333	IBD
4	12	4	12	0.86	0.333333333333333	4.4042711668692	0.333333333333333	IBD
4	12	4	12	0.87	0.333333333333333	4.4042711668692	0.333333333333333	IBD
4	11	4	11	0.88	0.363636363636364	4.8046594547664	0.363636363636364	IBD
4	11	4	11	0.89	0.363636363636364	4.8046594547664	0.363636363636364	IBD
4	11	4	11	0.9	0.363636363636364	4.8046594547664	0.363636363636364	IBD
4	11	4	11	0.91	0.363636363636364	4.8046594547664	0.363636363636364	IBD
4	10	4	10	0.92	0.4	5.28512540024304	0.4	IBD
4	10	4	10	0.93	0.4	5.28512540024304	0.4	IBD
4	10	4	10	0.94	0.4	5.28512540024304	0.4	IBD
4	10	4	10	0.95	0.4	5.28512540024304	0.4	IBD
4	10	4	10	0.96	0.4	5.28512540024304	0.4	IBD
4	10	4	10	0.97	0.4	5.28512540024304	0.4	IBD
3	8	3	8	0.98	0.375	4.95480506272785	0.375	IBD
3	8	3	8	0.99	0.375	4.95480506272785	0.375	IBD
0	1	0	1	1	0	0	0	IBD
